aX,aY,aZ,gX,gY,gZ
-0.267,-0.137,0.996,-18.921,7.019,8.606
-0.169,-0.023,0.898,-4.639,4.761,8.057
-0.179,-0.039,0.898,10.254,-3.784,1.038
-0.261,-0.113,1.011,10.986,-5.676,-0.793
-0.288,-0.129,1.016,2.930,-0.916,-0.610
-0.290,-0.149,0.943,5.005,-0.732,-0.183
-0.285,-0.152,0.953,5.371,-3.784,-0.610
-0.236,-0.113,0.971,1.526,-2.991,-0.732
-0.227,-0.084,0.977,3.296,-1.343,-0.244
-0.252,-0.101,0.992,2.502,0.183,-0.916
-0.251,-0.123,0.985,0.488,1.221,-0.610
-0.265,-0.166,0.956,2.258,0.977,0.061
-0.289,-0.192,0.956,3.723,0.305,0.305
-0.282,-0.200,0.961,6.104,0.061,1.648
-0.253,-0.169,0.947,6.409,0.366,2.930
-0.236,-0.139,0.953,1.160,-0.610,2.197
-0.258,-0.153,0.979,-3.174,0.305,0.916
-0.263,-0.156,0.965,0.244,2.869,0.549
-0.266,-0.186,0.981,3.967,2.502,0.793
-0.265,-0.182,0.995,4.089,2.930,2.991
-0.268,-0.170,0.996,3.235,3.662,4.395
-0.259,-0.146,0.979,0.549,6.226,5.798
-0.266,-0.145,0.929,-0.549,6.409,5.371
-0.288,-0.172,0.939,-0.427,5.371,4.700
-0.284,-0.182,0.950,-1.526,5.127,4.944
-0.257,-0.149,0.956,-1.282,5.737,5.432
-0.240,-0.125,0.991,5.920,6.592,4.822
-0.241,-0.107,1.005,11.902,8.118,4.456
-0.255,-0.119,1.003,10.742,12.207,0.610
-0.257,-0.179,0.928,3.418,12.939,0.122
-0.226,-0.149,0.925,-4.150,8.240,4.028
-0.202,-0.094,0.975,-5.188,6.775,3.662
-0.196,-0.084,0.982,0.549,6.226,1.099
-0.235,-0.118,1.014,6.409,4.883,0.122
-0.266,-0.164,1.017,12.390,7.141,-0.610
-0.271,-0.201,0.978,12.085,8.728,-0.305
-0.256,-0.204,0.958,9.460,9.827,-0.549
-0.216,-0.185,0.931,3.052,9.277,0.366
-0.215,-0.179,0.926,0.427,7.935,1.099

1.525,0.174,1.487,147.949,19.714,36.743
2.288,0.264,1.535,538.452,37.354,56.213
3.996,0.800,1.005,713.379,34.058,62.927
4.000,1.541,0.570,416.382,-18.738,9.094
4.000,2.591,0.354,59.265,-22.705,-81.726
3.911,2.740,0.311,-430.847,-4.700,-224.487
1.842,2.710,-1.498,-576.599,-27.588,-216.858
-0.781,2.210,-2.307,-866.211,-236.816,-101.257
-4.000,0.730,1.100,-887.817,-390.564,-65.186
-4.000,-0.963,3.766,-493.408,-461.426,-110.657
-3.937,-3.096,4.000,488.770,-206.421,-105.041
-3.684,-3.028,3.112,560.547,-38.757,-22.339
-0.134,0.222,-1.048,345.642,167.053,119.080
1.281,1.418,-1.624,152.527,149.231,128.235
1.143,1.460,-0.791,-148.071,25.879,45.959
-0.310,0.568,0.982,-190.124,13.367,31.067
-0.501,0.308,0.937,-205.139,45.105,40.527
-0.394,-0.108,0.524,-180.847,44.250,38.574
-0.363,-0.296,0.495,-47.852,10.620,12.573
-0.401,-0.551,0.749,17.029,-9.277,1.953
-0.314,-0.352,0.935,47.241,-22.522,5.615
0.004,0.202,0.985,28.015,-14.526,3.235
0.022,0.262,0.913,-13.550,-6.958,-10.742
-0.123,0.100,1.008,-23.193,-5.981,-17.395
-0.151,0.029,1.015,-28.809,5.432,-21.851
0.018,0.148,0.764,-18.860,5.432,-21.301
0.047,0.142,0.774,-6.592,-3.967,-25.146
-0.039,0.042,0.876,2.075,-21.729,-33.264
-0.196,-0.103,1.006,14.099,-24.658,-32.532
-0.209,-0.112,1.049,35.339,-26.733,-28.870
-0.181,-0.105,1.075,39.001,-24.658,-27.466
-0.183,-0.082,1.109,36.499,-20.264,-24.475
-0.271,-0.053,1.221,23.132,-16.602,-22.095
